taxid	scientific_name	domain
10939		Viruses
10941		Viruses
10942		Viruses
10943		Viruses
10944		Viruses
10946		Viruses
10947		Viruses
10948		Viruses
10949		Viruses
10950		Viruses
10951		Viruses
10952		Viruses
10953		Viruses
10954		Viruses
10955		Viruses
10956		Viruses
10957		Viruses
10958		Viruses
10959		Viruses
10960		Viruses
10961		Viruses
10962		Viruses
10963		Viruses
10967		Viruses
10968		Viruses
10970		Viruses
10971		Viruses
10978		Viruses
10979		Viruses
10981		Viruses
10983		Viruses
10985		Viruses
10986		Viruses
10987		Viruses
10988		Viruses
10989		Viruses
10990		Viruses
10991		Viruses
10992		Viruses
10993		Viruses
10995		Viruses
10996		Viruses
10997		Viruses
10998		Viruses
10999		Viruses
11000		Viruses
11001		Viruses
11002		Viruses
11003		Viruses
11004		Viruses
11005		Viruses
11006		Viruses
11007		Viruses
11008		Viruses
11009		Viruses
11010		Viruses
11011		Viruses
11012		Viruses
11014		Viruses
11018		Viruses
11019		Viruses
11020		Viruses
11021		Viruses
11022		Viruses
11023		Viruses
11024		Viruses
11028		Viruses
11029		Viruses
11030		Viruses
11031		Viruses
11032		Viruses
11033		Viruses
11034		Viruses
11036		Viruses
11037		Viruses
11038		Viruses
11039		Viruses
11040		Viruses
11041		Viruses
11043		Viruses
11044		Viruses
11045		Viruses
11047		Viruses
11048		Viruses
11049		Viruses
11050		Viruses
11051		Viruses
11052		Viruses
11053		Viruses
11057		Viruses
11058		Viruses
11059		Viruses
11060		Viruses
11062		Viruses
11063		Viruses
11064		Viruses
11065		Viruses
11066		Viruses
11067		Viruses
11068		Viruses
11069		Viruses
11070		Viruses
11071		Viruses
11072		Viruses
11073		Viruses
11074		Viruses
11075		Viruses
11076		Viruses
11077		Viruses
11078		Viruses
11079		Viruses
11080		Viruses
11081		Viruses
11082		Viruses
11083		Viruses
11084		Viruses
11085		Viruses
11086		Viruses
11087		Viruses
11088		Viruses
11089		Viruses
11090		Viruses
11092		Viruses
11093		Viruses
11094		Viruses
11095		Viruses
11096		Viruses
11097		Viruses
11098		Viruses
11099		Viruses
11100		Viruses
11101		Viruses
11102		Viruses
11104		Viruses
11105		Viruses
11106		Viruses
11107		Viruses
11108		Viruses
11109		Viruses
11110		Viruses
11111		Viruses
11112		Viruses
11113		Viruses
11114		Viruses
11115		Viruses
11116		Viruses
11117		Viruses
11118		Viruses
11120		Viruses
11121		Viruses
11122		Viruses
11123		Viruses
11124		Viruses
11125		Viruses
11126		Viruses
11127		Viruses
11128		Viruses
11129		Viruses
11130		Viruses
11131		Viruses
11132		Viruses
11133		Viruses
11134		Viruses
11135		Viruses
11137		Viruses
11138		Viruses
11139		Viruses
11140		Viruses
11142		Viruses
11143		Viruses
11144		Viruses
11145		Viruses
11146		Viruses
11148		Viruses
11149		Viruses
11150		Viruses
11151		Viruses
11152		Viruses
11153		Viruses
11155		Viruses
11156		Viruses
11157		Viruses
11158		Viruses
11159		Viruses
11162		Viruses
11163		Viruses
11164		Viruses
11165		Viruses
11166		Viruses
11167		Viruses
11168		Viruses
11169		Viruses
11170		Viruses
11171		Viruses
11172		Viruses
11173		Viruses
11174		Viruses
11175		Viruses
11177		Viruses
11178		Viruses
11179		Viruses
11180		Viruses
11181		Viruses
11182		Viruses
11183		Viruses
11184		Viruses
11185		Viruses
11186		Viruses
11187		Viruses
11188		Viruses
11189		Viruses
11190		Viruses
11193		Viruses
11194		Viruses
11195		Viruses
11196		Viruses
11198		Viruses
11208		Viruses
11210		Viruses
11211		Viruses
11213		Viruses
11214		Viruses
11216		Viruses
11217		Viruses
11218		Viruses
11219		Viruses
11220		Viruses
11221		Viruses
11222		Viruses
11223		Viruses
11224		Viruses
11225		Viruses
11226		Viruses
11227		Viruses
11229		Viruses
11233		Viruses
11234		Viruses
11235		Viruses
11236		Viruses
11237		Viruses
11238		Viruses
11239		Viruses
11240		Viruses
11241		Viruses
11242		Viruses
11243		Viruses
11244		Viruses
11245		Viruses
11246		Viruses
11247		Viruses
11248		Viruses
11249		Viruses
11250		Viruses
11251		Viruses
11252		Viruses
11253		Viruses
11254		Viruses
11255		Viruses
11256		Viruses
11257		Viruses
11258		Viruses
11259		Viruses
11260		Viruses
11261		Viruses
11263		Viruses
11264		Viruses
11266		Viruses
11270		Viruses
11271		Viruses
11272		Viruses
11273		Viruses
11274		Viruses
11276		Viruses
11277		Viruses
11278		Viruses
11279		Viruses
11280		Viruses
11281		Viruses
11282		Viruses
11283		Viruses
11284		Viruses
11285		Viruses
11286		Viruses
11287		Viruses
11288		Viruses
11289		Viruses
11290		Viruses
11291		Viruses
11292		Viruses
11293		Viruses
11294		Viruses
11295		Viruses
11296		Viruses
11297		Viruses
11298		Viruses
11300		Viruses
11301		Viruses
11303		Viruses
11306		Viruses
11307		Viruses
11308		Viruses
11309		Viruses
11313		Viruses
11318		Viruses
11319		Viruses
11320		Viruses
11338		Viruses
11339		Viruses
11340		Viruses
11357		Viruses
11359		Viruses
11360		Viruses
11361		Viruses
11362		Viruses
11363		Viruses
11369		Viruses
11375		Viruses
11384		Viruses
11397		Viruses
11408		Viruses
11414		Viruses
11418		Viruses
11430		Viruses
